	J1_p1_rep1_B	J1_p1_rep2_B	J4_p1_rep1_B	J4_p1_rep2_B	J8_p1_rep1_B	J8_p1_rep2_B	J11_p1_rep1_B	J11_p1_rep2_B	J14_p1_rep1_B	J14_p1_rep2_B	J1_p2_rep1_B	J1_p2_rep2_B	J4_p2_rep1_B	J4_p2_rep2_B	J8_p2_rep1_B	J8_p2_rep2_B	J11_p2_rep1_B	J11_p2_rep2_B	J14_p2_rep1_B	J14_p2_rep2_B	J1_p3_rep1_B	J1_p3_rep2_B	J4_p3_rep1_B	J4_p3_rep2_B	J8_p3_rep1_B	J8_p3_rep2_B	J11_p3_rep1_B	J11_p3_rep2_B	J14_p3_rep1_B	J14_p3_rep2_B
TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1	36.1542386663838	36.389072535581	37.8525482165588	35.0649589022735	37.684065549777	29.1290813170753	28.6702439168462	27.19766674613	33.0401116419365	32.6702299175754	29.28751936638	29.707986773642	30.4951970727448	28.7617795197685	29.3124235794478	32.935790582903	35.0799191083177	35.5875551408233	37.0199982288775	38.9079792498055	31.148781697516	29.8120064699103	28.1100299629999	30.088813215809	29.1393259933565	29.2360698663632	27.5264057319519	28.5292238420412	29.9475238721213	30.1990755101665
SCYL3	29.2531516145215	26.9784147238177	23.5768454537332	25.3127551332649	20.8731030902033	17.7624170121223	21.0712179447932	19.1724355681406	19.1067554704702	19.7744859102474	26.1701793159126	27.4425415478886	26.303629892915	24.1420898854742	23.9118622282413	26.2001599627722	30.0509839220592	27.6505602388994	26.9377514951999	25.6341313772778	23.40847252831	21.7703240273692	17.0183407042661	17.4126661513895	19.6214459806675	18.9984113878611	18.8373290507901	22.7687267050681	21.0018782978672	20.1985815374773
C1orf112	8.66544264117339	8.93868540533552	10.2763406780451	10.8519491628074	8.55480059291973	6.53439810196532	4.25214799019892	4.80639765428895	3.75150358535331	4.1284782311717	4.20252687245533	4.49607904493469	5.12843959373901	4.84795772572098	4.0360174949219	5.34125234230915	6.79818328041712	6.76265664046205	6.67431816620855	4.20507075415191	4.35634466541831	5.06520636075925	7.10342859731671	7.86983773235371	5.45867042157471	4.81640049003742	3.25744478087703	3.21692778238149	4.33109000905301	3.39973889034291
FGR	266.352635194292	268.8826799419	222.025192100541	228.577850311081	145.668123231459	114.303418315531	113.672879889718	124.559998192374	151.913240584805	144.081756074665	215.650687090017	217.41920240596	370.205134356224	297.433323129034	272.403384643489	283.832734304281	130.131247753116	216.384589220673	213.65513454439	108.323826225022	84.1506353712998	92.365249839421	82.8885498908971	80.7525807640912	100.272141685265	93.3618072156313	106.791406853058	117.829131723515	138.201230447604	118.894887131554
CFH	0	0	0	0	0	0	0	0	0	0	0.0894630521012311	0	0	0	0	0.0399764414513072	0	0.0510581852809517	0.164899769393664	0.71045719360547	0	0	0	0.0329199269319573	0	0	0	0	0	0
FUCA2	12.6995732387479	13.8297354531465	15.6669959971674	13.4723040530315	19.9815466008405	21.4805523064399	20.392971105579	20.1655490672419	17.4501680547097	15.9158645559898	20.5653191017705	20.0013499119924	16.191029057179	14.1270556422177	17.1022829987675	18.3863647166997	16.5888361821612	15.7305163032084	15.9386620436936	15.259784686653	26.3394750364702	25.7205329987626	27.8937989632845	26.7076075206276	29.2857474821788	30.1162498240618	28.6204039084782	27.7125318438642	24.6417267181737	26.2647048149158
GCLC	117.152434308862	116.057070795776	121.151584899141	124.228085641495	123.760138861732	119.586846568686	128.023728142273	124.706765188822	110.116735718812	111.499739477136	79.7097901611548	79.9638287449758	61.7867356973124	72.6344501558039	82.9339432652998	85.4680327652367	136.528604827374	108.242842213765	100.752384934784	105.899077614846	103.557060240672	99.4988708487582	98.408650023802	103.532841001736	99.885550295635	94.8712403327053	98.7206769673237	105.076912391711	95.9559159942215	100.222857231321
NFYA	63.3056028989219	64.943403124461	55.6238550318697	58.8304568622632	49.5914673178555	46.4710460081714	44.6788048661964	42.9070508709278	57.9856504779132	62.551306420157	57.121264136115	61.8118770539773	71.7644269054454	81.0223894433707	72.2197470603982	71.4754787284502	64.2359075289525	56.6725433344451	61.029954318493	46.0957164691116	64.0498862188007	58.064906420792	59.4875505883656	55.56587386772	49.8219653385581	50.4176992927217	53.885164041272	51.4189419542466	47.3081411306313	48.8863483446469
STPG1	4.8065823704402	4.95571026749157	4.48413324657206	4.39898157519475	3.05178260417572	3.52258657787888	3.91141161734752	3.51413935156294	6.00729302580664	5.12206374458982	5.50197770422571	5.6779769942797	7.86972827683736	7.62415425365292	4.29578621422942	5.23691383012124	3.05042774854937	3.93148026663328	4.3148772991342	3.97020196426586	6.80869966424761	7.18133911794987	6.10251932530083	6.12310640934405	4.30082920963305	6.31189322942676	5.67712938730335	4.46843264995826	6.21552382251573	6.1541935642026
NIPAL3	50.6875959064602	50.1706668032718	40.3571992191485	41.3673459667352	44.3598399964114	41.9549093698651	43.106175453036	44.4435270932961	43.629238331494	44.1066600228568	52.8279322657769	50.6962231632116	45.672530178074	46.5666906510537	40.1276971070372	41.4955462264569	34.2257993387239	39.8253845191423	34.4365685083768	23.9465865844667	48.4763107831761	45.1195977476456	48.2915899364357	44.4419013581423	48.7105150933721	48.7913218961823	49.7439283071283	49.6339749733825	44.7800239031247	44.2039447650215
LAS1L	59.0384258833866	61.1676238730389	67.9083602476364	68.9032787114639	58.0383655972704	54.148478293292	45.3239861639032	46.865034881768	50.3492610383285	49.7504154451363	51.4859864842585	48.4993868261391	44.7825013848602	40.677373892244	47.3547256792114	47.0922480296399	41.5468259352424	41.8166537450994	42.186857669879	36.6094412704937	36.8159029749437	35.6704673292905	43.6786619425075	35.1914018902623	33.6817748215083	30.4752145494408	29.7665703009959	29.1135573424204	30.0887857771784	27.2114603976301
