"","D1_p1_rep1_auto","D4_p1_rep1_auto","D8_p1_rep1_auto","D11_p1_rep1_auto","D14_p1_rep1_auto","D1_p1_rep2_auto","D4_p1_rep2_auto","D8_p1_rep2_auto","D11_p1_rep2_auto","D14_p1_rep2_auto","D1_p2_rep1_auto","D4_p2_rep1_auto","D8_p2_rep1_auto","D11_p2_rep1_auto","D14_p2_rep1_auto","D1_p2_rep2_auto","D4_p2_rep2_auto","D8_p2_rep2_auto","D11_p2_rep2_auto","D14_p2_rep2_auto","D1_p3_rep1_auto","D4_p3_rep1_auto","D8_p3_rep1_auto","D11_p3_rep1_auto","D14_p3_rep1_auto","D1_p3_rep2_auto","D4_p3_rep2_auto","D8_p3_rep2_auto","D11_p3_rep2_auto","D14_p3_rep2_auto","D1_p1_rep1_B","D4_p1_rep1_B","D8_p1_rep1_B","D11_p1_rep1_B","D14_p1_rep1_B","D1_p1_rep2_B","D4_p1_rep2_B","D8_p1_rep2_B","D11_p1_rep2_B","D14_p1_rep2_B","D1_p2_rep1_B","D4_p2_rep1_B","D8_p2_rep1_B","D11_p2_rep1_B","D14_p2_rep1_B","D1_p2_rep2_B","D4_p2_rep2_B","D8_p2_rep2_B","D11_p2_rep2_B","D14_p2_rep2_B","D1_p3_rep1_B","D4_p3_rep1_B","D8_p3_rep1_B","D11_p3_rep1_B","D14_p3_rep1_B","D1_p3_rep2_B","D4_p3_rep2_B","D8_p3_rep2_B","D11_p3_rep2_B","D14_p3_rep2_B"
"Visual phototransduction",0.305806376558339,0.0548423945119785,0.265428672074556,0.154496864362394,-0.216674756229328,0.15908242321939,-0.0494031291668168,0.0416789361887491,0.53967613000843,-0.0700114370827898,0.595736391103471,-0.0535556259120379,0.630355651288726,0.741200555242294,0.284792533097331,0.494980313115708,-0.0891960478330966,0.632166742642498,0.359472511614632,0.140895417647057,0.530152967080048,0.274559217245618,0.273883668268668,0.119813190779581,0.0831489349474418,0.565431548538974,0.539495585253509,0.246678386185167,0.332078427660818,-0.214937826917879,-0.392699851422785,-0.716649155025615,-0.517248433666297,-0.311182553298918,-0.454750920023978,-0.400351332333706,-0.642617561817179,-0.404192393846477,-0.331914970293609,-0.443149194056983,-0.157162706430722,-0.541154894137865,-0.479220621637793,-0.822980467722205,-0.72481128594994,-0.149391274621996,-0.606345699668768,-0.484118781143264,-0.553635006285457,-0.703458809584588,0.115269674931884,0.409661020962461,0.391769475520525,0.219894477342287,0.051635143572079,0.109738121555418,0.202582878250181,0.488975925707115,0.250243691104401,-0.0748095114716335
"Cell surface interactions at the vascular wall",-0.0961810772153904,-0.0693440480028075,-0.0947729184963538,0.00605874018462297,-0.177335160820377,-0.122727287276373,-0.106352061554417,-0.13753980285911,0.152486868110677,-0.20480402113188,0.101322212509576,-0.171937471397933,-0.168172675969432,-0.167009229823203,-0.152825956642609,0.0521502441069814,-0.167710075214385,-0.179366233555186,-0.158626057703038,-0.249807514300144,0.765060551588469,0.668168606595927,0.681380123956691,0.651149556649339,0.705558277403628,0.794690579434221,0.707957657694594,0.648915505598074,0.714952587109664,0.492712221220282,-0.40335302091489,-0.551886453378691,-0.526287150220695,-0.369369225554837,-0.562229480369457,-0.402260071830998,-0.528320962410682,-0.363617972546305,-0.319611511939831,-0.536516159347395,-0.494808050471202,-0.440010340160729,-0.468572619609366,-0.639803224431089,-0.743667937983546,-0.469713482975233,-0.509929718711353,-0.474717765812649,-0.560397779647276,-0.706775002017757,0.350394160934705,0.453725314883173,0.526283374887264,0.676577607949111,0.561425935244193,0.372412708090185,0.43855718815657,0.683025530708292,0.677898641596111,0.613495327684274
"Integrin cell surface interactions",-0.0282139692116976,0.310302020008252,0.10379546424711,0.00582863567416176,-0.279932642699959,-0.0808967566655559,0.12044565797882,0.196215292371315,0.122990596508745,-0.295106078213428,0.260401168072462,-0.144032974597445,-0.480190528731544,-0.207168113470877,-0.117084376232397,0.285383844163022,-0.0922783089754425,-0.498808107798464,-0.333982469267051,-0.34711465622838,1.17678190196866,0.776976871458524,0.654672987978881,0.69328271118787,0.535398715973045,1.21430030992221,0.997396201202704,0.50526711723627,0.640298850270109,0.8468092154162,-0.321013015657347,-0.523718803343783,-0.441672017648272,-0.487491469293956,-0.601787207069,-0.31742975729661,-0.454813952428661,-0.551998235249158,-0.452263421655273,-0.520672445946593,-0.747402052732927,-0.62009169008381,-0.746667344742628,-0.818705647324241,-0.672008599832738,-0.664289119384525,-0.727468437978774,-0.684394520298635,-0.640973922276107,-0.734052231338154,0.468455851200209,0.337275970782566,0.591385257961916,0.569988715646386,0.542670508759437,0.353952471287482,0.452392965015216,0.586045992791055,0.634952878848325,0.650054699742475
"L1CAM interactions",-0.62597734430881,-0.45196735267021,-0.393378669218438,-0.155043248406552,-0.115826720489049,-0.502798083936634,-0.483010534920041,-0.429851717226304,0.0415099027443105,-0.0389650643204285,-0.0116788129209761,-0.395539883015859,-0.151724881711428,-0.128120629823938,-0.229588037493508,0.0259024677003705,-0.139027023291084,-0.159887578691493,-0.0226138692038165,-0.1986907498871,0.97987775454604,0.682346793066566,0.74703338921075,0.669681416611102,0.865312686874429,1.0339987816945,0.906393656613904,0.789166155362898,0.73207762758878,0.448872267981941,-0.583243331376393,-0.643320728603539,-0.534734034179361,-0.235199224500746,-0.606176778656542,-0.519438307465117,-0.666028541114867,-0.242841351797496,-0.17358466917552,-0.563253442514159,-0.376478464400483,-0.180200741807477,-0.501316985876239,-0.741446286131809,-0.70601767871132,-0.243177327693889,-0.425041655915462,-0.565688200549192,-0.529564176162043,-0.784885381017551,0.64363291608103,0.623411759794195,0.621608888305754,0.777140946695274,0.607547078998969,0.533512202305138,0.512018364599921,0.829617929333072,0.658385244372686,0.726279278703243
"Signal transduction by L1",-0.739004898149177,-0.726695233113692,-0.610920537612279,-0.125499321256999,-0.206491162765078,-0.619840170798079,-0.753315544007895,-0.665859727847503,0.126678026465964,-0.165358290497454,0.0865121425174342,-0.313853912598621,-0.310073736980201,-0.085661207748804,-0.218188881849812,0.0180999331616706,-0.142951881695436,-0.347247005549308,0.0422889434689696,-0.142257904075053,0.676622396494279,0.651567365981439,0.871565445929253,0.916155395770964,1.05221923997827,0.790740770247506,0.701480721519235,0.805346443390498,1.02643245467712,0.76677249901585,-0.642603050204266,-0.859444235760377,-0.788063842707316,-0.227444644082243,-0.465848661629774,-0.695027469878989,-0.82963291651912,-0.439466176133177,-0.225081462548433,-0.46223009156426,-0.113880375257788,-0.200288160957206,-0.337746495446102,-0.647535407653756,-0.696630063913653,-0.0829891292316932,-0.364248916717386,-0.351915293526216,-0.402012402967454,-0.807087473909514,0.529228702468204,0.503281028017967,0.701372156157357,1.03006048268777,0.732973327454346,0.501228499369766,0.393731670058082,0.912145419098982,1.01256281852165,0.96332980470154
"Transcriptional regulation by RUNX2",-0.970455644484742,-0.741755166500892,-0.619642686531832,-0.183501462272461,-0.47597933939983,-0.871679711721424,-0.746166417741368,-0.688568753285705,-0.143780115004238,-0.374170999717507,-0.111001963384776,-0.331651136872813,0.0791435246675098,-0.0813359968299012,-0.31749863799707,-0.132647112508412,-0.142424577002176,0.0746670779977745,0.0665610692931481,-0.116807908001681,0.863202127848277,0.789285485961321,1.06123224547517,0.828643889304552,0.879303434916231,0.761362205266892,1.00491669412008,1.10204831136442,0.838293684801388,0.476589225854327,-1.03748908152043,-0.908213652501561,-0.841579681886804,-0.426651633041135,-0.592135906159108,-1.10160975388971,-0.915556746643685,-0.607646483175136,-0.448100648386761,-0.600995245218358,-0.48876123074118,-0.271522714586956,-0.095565872922267,-0.180552473235475,-0.398797259532138,-0.302234627543938,-0.49882018878333,-0.178985197795689,-0.214761136819988,-0.126685244576972,0.551485043512896,0.834790372135408,1.04107113190479,1.01332110043092,0.764220512839092,0.57177609855316,0.79908741584444,1.06863519341765,0.890065343926126,0.926031218781868
"Signaling by VEGF",-0.649743530824146,-0.632038827237715,-0.560138915053564,-0.365719094493702,-0.511799083667736,-0.703405824147098,-0.591649419852629,-0.620510485812745,-0.277477958402091,-0.516682239430126,0.0506842908154348,-0.206741121336077,-0.13274041380458,-0.13561712244969,-0.229887641451532,0.0664017184569976,-0.165456376242884,-0.1484673837826,-0.0879176214219672,-0.204198168445558,0.575939530212517,0.604572133253952,0.882151792247797,0.855944822146064,0.818415061805235,0.624870762572029,0.735097991909534,0.775113695733945,0.797121934448523,0.826371934892767,-0.82305266849654,-0.65395583543745,-0.638609072825555,-0.440990382297345,-0.644424081074163,-0.802289365816222,-0.613043894614343,-0.484831221400067,-0.393199756168243,-0.608542810585065,-0.20827916908294,-0.311243401103411,-0.246896449069065,-0.299109932268785,-0.408183462734272,-0.192989652808136,-0.316011123174524,-0.262787761179491,-0.188398560758443,-0.451631550610965,0.469185754745248,0.811644425028671,0.84815164913074,1.000469209383,0.756182555735297,0.461907620265588,0.750600221184946,0.965359380339637,1.02167400800123,1.03080088705232
"PECAM1 interactions",-0.477168376912816,-0.800100379352132,-0.536134121941474,-0.212345120746632,-0.19025232629782,-0.51773915224696,-0.844020744319743,-0.646742387266432,-0.181474365657342,-0.32954760861652,0.570060618396646,0.458309922828974,0.0930610856829474,0.198082386063381,0.402401051798828,0.516193959598419,0.431582423211138,-0.083320042666812,0.302583033338126,0.342301928648423,0.543175362213577,0.213658151742659,0.476725836836399,0.423406225317402,0.451510629988845,0.574990400357418,0.440159108867003,0.340488771177961,0.538267272561223,0.231328708823124,-0.6295856258154,-0.95184187883755,-0.958799979954438,-0.553959066064828,-0.87230687480523,-0.586644867359984,-0.929519674763917,-0.699521643304152,-0.481520792011988,-0.80041710589374,0.372756915262468,0.469121653985214,-0.0742376695874204,-0.321731019073127,-0.482059588222367,0.391762701719906,0.391527821636597,-0.0569511561907364,-0.139827652345852,-0.973844474671255,0.474524443112321,0.404299336011211,0.392379478314362,0.701297504989977,0.329292286861338,0.466176230504158,0.354567768101537,0.646712220700165,0.765772500235908,0.623135956039007
"Laminin interactions",0.67787900691419,0.706189751973805,0.482506024171154,0.0838356121252651,-0.372933358636453,0.290105754046764,0.559760192906705,0.462303256108051,-0.175481590438654,-0.0472741798718405,-0.420603779452824,-0.433149602803436,-0.438350616601711,-0.321306629646145,-0.360441256710246,-0.0306581653505247,-0.211033624342767,-0.384154563784124,-0.499051518033635,-0.24692742823984,0.397696552202873,0.0407172954911136,0.381378750320743,0.613404131872431,0.209925803092871,0.180216945675116,0.269847329222726,0.0609635636869321,0.277731455660928,0.705202343535103,0.720676339862248,0.452283788721341,0.0617461676912941,-0.168963512817902,-0.484188977049197,0.476176110575054,0.386977155078667,-0.381119437686453,-0.454948236751177,-0.0414723600223431,-0.786456605813092,-0.332984889301462,-0.67660692391003,-0.113993062618006,-0.268951845922162,-0.572037246106282,-0.544061288790038,-0.417701109131157,-0.206279706526882,-0.782256806619824,0.171337359568469,-0.0168406603957533,0.0679792474757435,0.0258854946805857,0.251386482629194,-0.227479698008416,0.0124376080911857,0.0174238948703067,0.493417422122263,0.880317841009256
"Non-integrin membrane-ECM interactions",0.279024226915005,0.356999367109986,0.26740740140285,-0.0402552621710862,-0.351998094760581,0.16696920861876,0.313096709198638,0.12944940533926,0.00336304354068864,-0.173284804079958,-0.356319365397272,-0.28691616781554,-0.0874080894564699,0.171820228837286,0.00681130080693728,-0.0483509711209313,-0.223699848237215,-0.128025122408117,-0.0388441084365947,-0.0871931143706455,0.303574243182454,0.134715967376899,0.41801545598322,0.347314904000372,0.370385629722756,0.205909123733467,0.514566393945191,0.303034625162901,0.431681287158492,0.552526338725925,0.127895700111937,-0.211148270383153,-0.267450153307407,-0.352169947134932,-0.613642643293027,0.0335629148089548,-0.243701316735848,-0.383603964829411,-0.39438991951032,-0.52420262481055,-0.652294543970205,-0.344332455959006,-0.528303762215321,-0.338006464679926,-0.178976856623447,-0.49761157592458,-0.436205237814156,-0.286065237895909,-0.13771430579902,-0.60809668105956,0.114515115040052,0.226793759088682,0.497034942381142,0.365084928082451,0.323145166170841,-0.180366399997906,0.230858154239784,0.66964213328333,0.580395514784656,0.554984121445177
