─ Session info ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 setting  value
 version  R version 4.4.2 (2024-10-31)
 os       Ubuntu 24.04.2 LTS
 system   x86_64, linux-gnu
 ui       RStudio
 language en_US:en
 collate  en_US.UTF-8
 ctype    en_US.UTF-8
 tz       Europe/Paris
 date     2026-01-16
 rstudio  2024.12.0+467 Kousa Dogwood (desktop)
 pandoc   3.2 @ /usr/lib/rstudio/resources/app/bin/quarto/bin/tools/x86_64/ (via rmarkdown)
 quarto   1.5.57 @ /usr/lib/rstudio/resources/app/bin/quarto/bin/quarto

─ Packages ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 package              * version   date (UTC) lib source
 abind                  1.4-8     2024-09-12 [1] CRAN (R 4.4.2)
 ade4                   1.7-23    2025-02-14 [1] CRAN (R 4.4.2)
 annotate             * 1.84.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 AnnotationDbi        * 1.68.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 ape                    5.8-1     2024-12-16 [1] CRAN (R 4.4.2)
 aplot                  0.2.9     2025-09-12 [1] CRAN (R 4.4.2)
 backports              1.5.0     2024-05-23 [1] CRAN (R 4.4.2)
 base64enc              0.1-3     2015-07-28 [1] CRAN (R 4.4.2)
 bcellViper             1.42.0    2024-10-31 [1] Bioconductor 3.20 (R 4.4.2)
 beachmat               2.22.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 Biobase              * 2.66.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 BiocGenerics         * 0.52.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 BiocManager          * 1.30.25   2024-08-28 [1] CRAN (R 4.4.2)
 BiocParallel         * 1.40.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 BiocSingular           1.22.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 Biostrings             2.74.1    2024-12-16 [1] Bioconductor 3.20 (R 4.4.2)
 bit                    4.5.0.1   2024-12-03 [1] CRAN (R 4.4.2)
 bit64                  4.6.0-1   2025-01-16 [1] CRAN (R 4.4.2)
 blob                   1.2.4     2023-03-17 [1] CRAN (R 4.4.2)
 broom                  1.0.7     2024-09-26 [1] CRAN (R 4.4.2)
 cachem                 1.1.0     2024-05-16 [1] CRAN (R 4.4.2)
 car                    3.1-3     2024-09-27 [1] CRAN (R 4.4.2)
 carData                3.0-5     2022-01-06 [1] CRAN (R 4.4.2)
 cellranger             1.1.0     2016-07-27 [1] CRAN (R 4.4.2)
 checkmate              2.3.2     2024-07-29 [1] CRAN (R 4.4.2)
 circlize             * 0.4.16    2024-02-20 [1] CRAN (R 4.4.2)
 class                  7.3-23    2025-01-01 [4] CRAN (R 4.4.2)
 cli                    3.6.4     2025-02-13 [1] CRAN (R 4.4.2)
 clue                   0.3-66    2024-11-13 [1] CRAN (R 4.4.2)
 cluster              * 2.1.8     2024-12-11 [4] CRAN (R 4.4.2)
 clusterProfiler      * 4.14.6    2025-02-27 [1] Bioconductor 3.20 (R 4.4.2)
 clusterSim           * 0.51-5    2024-09-14 [1] CRAN (R 4.4.2)
 coda                   0.19-4.1  2024-01-31 [1] CRAN (R 4.4.2)
 codetools              0.2-19    2023-02-01 [4] CRAN (R 4.2.2)
 colorspace             2.1-1     2024-07-26 [1] CRAN (R 4.4.2)
 ComplexHeatmap       * 2.22.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
 cowplot                1.1.3     2024-01-22 [1] CRAN (R 4.4.2)
 crayon                 1.5.3     2024-06-20 [1] CRAN (R 4.4.2)
 curl                   6.2.1     2025-02-19 [1] CRAN (R 4.4.2)
 data.table           * 1.16.4    2024-12-06 [1] CRAN (R 4.4.2)
 DBI                    1.2.3     2024-06-02 [1] CRAN (R 4.4.2)
 decoupleR            * 2.12.0    2024-10-29 [1] Bioconductor 3.20 (R 4.4.2)
