"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","5/11","142/5665",0.0352112676056338,18.1338028169014,9.11990843479558,3.77485319051106e-06,0.000185864625803836,0.000104345053082856,"5934/1869/1871/1875/1874",5
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","5/11","157/5665",0.0318471337579618,16.4012738853503,8.63156543790272,6.19548752679455e-06,0.000185864625803836,0.000104345053082856,"5934/1869/1871/1875/1874",5
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","4/11","137/5665",0.0291970802919708,15.036496350365,7.33525213260039,9.46901467683381e-05,0.00189380293536676,0.00106318761283748,"1960/1959/1869/1871",4
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","4/11","198/5665",0.0202020202020202,10.4040404040404,5.9409049960176,0.000393872017051872,0.00590808025577808,0.00331681698569997,"1958/1959/1869/1871",4
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/11","35/5665",0.0571428571428571,29.4285714285714,7.44071934856488,0.00196967281947459,0.0236360738336951,0.0132693747838288,"1869/1871",2
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","3/11","154/5665",0.0194805194805195,10.0324675324675,5.01223733234133,0.00276871753003979,0.0276871753003979,0.0155436773616269,"1869/81631/1871",3
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","3/11","169/5665",0.0177514792899408,9.14201183431953,4.73949186763588,0.00360706276615357,0.0299343064031155,0.0168052246473631,"1960/1959/5934",3
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","2/11","50/5665",0.04,20.6,6.13968734789,0.00399124085374873,0.0299343064031155,0.0168052246473631,"1869/1871",2
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","2/11","61/5665",0.0327868852459016,16.8852459016393,5.50161073919622,0.0058933102933358,0.0376565976839758,0.021140546068197,"1869/1871",2
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","2/11","63/5665",0.0317460317460317,16.3492063492063,5.40337003412573,0.00627609961399597,0.0376565976839758,0.021140546068197,"1869/1871",2
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","2/11","73/5665",0.0273972602739726,14.1095890410959,4.97218168135614,0.00835622096964685,0.0404567242436638,0.0227125469438113,"1869/1871",2
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","2/11","73/5665",0.0273972602739726,14.1095890410959,4.97218168135614,0.00835622096964685,0.0404567242436638,0.0227125469438113,"1869/1871",2
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","2/11","77/5665",0.025974025974026,13.3766233766234,4.82280166500982,0.00926440931509474,0.0404567242436638,0.0227125469438113,"1869/1871",2
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","2/11","81/5665",0.0246913580246914,12.716049382716,4.68415288018118,0.0102152105899768,0.0404567242436638,0.0227125469438113,"1875/1874",2
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","2/11","82/5665",0.024390243902439,12.5609756097561,4.65101414224721,0.0104594999437608,0.0404567242436638,0.0227125469438113,"1869/1871",2
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","2/11","84/5665",0.0238095238095238,12.2619047619048,4.58643818920002,0.0109559212645556,0.0404567242436638,0.0227125469438113,"1869/1871",2
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","2/11","86/5665",0.0232558139534884,11.9767441860465,4.52402140219572,0.0114627385357047,0.0404567242436638,0.0227125469438113,"1960/1959",2
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","2/11","98/5665",0.0204081632653061,10.5102040816327,4.18863316125851,0.0147179050334395,0.0473856554842908,0.0266024732543387,"1869/81631",2
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","2/11","99/5665",0.0202020202020202,10.4040404040404,4.16332721597178,0.0150054575700254,0.0473856554842908,0.0266024732543387,"1958/81631",2
