"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","8/30","157/5665",0.0509554140127389,9.62208067940552,7.99355987376038,1.01486455870503e-06,0.000169482381303739,0.00010255473435335,"1026/4318/960/2065/2335/3688/4313/7124",8
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/30","57/5665",0.087719298245614,16.5643274853801,8.61666234682947,1.01466880835549e-05,0.000751695718129862,0.00045485527223742,"3586/2353/3688/7124/5970",5
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","6/30","108/5665",0.0555555555555556,10.4907407407407,7.26552629296748,1.7092257815767e-05,0.000751695718129862,0.00045485527223742,"4318/2353/3383/4313/7124/5970",6
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","5/30","64/5665",0.078125,14.7526041666667,8.07267434628674,1.80046878593979e-05,0.000751695718129862,0.00045485527223742,"3586/2353/3688/7124/5970",5
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","6/30","122/5665",0.0491803278688525,9.28688524590164,6.75109299678028,3.42961220212025e-05,0.00114549047550816,0.000693142676639039,"3586/2335/2353/3688/7124/5970",6
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/30","81/5665",0.0617283950617284,11.656378600823,7.04781889893134,5.68169317363866e-05,0.00158140459999609,0.00095691674503388,"2335/3383/4313/7124/5970",5
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/30","85/5665",0.0588235294117647,11.1078431372549,6.85056113591633,7.16702694605912e-05,0.00170984785713125,0.00103463847642357,"4318/3383/3688/4313/5906",5
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/30","17/5665",0.176470588235294,33.3235294117647,9.73803164611144,8.67054095916007e-05,0.00180997542522467,0.00109522622642022,"3586/3383/7124",3
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","5/30","97/5665",0.0515463917525773,9.73367697594502,6.33007227055973,0.000134696486728052,0.00249936814262053,0.00151238160536761,"4318/2353/3383/7124/5970",5
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","7/30","234/5665",0.0299145299145299,5.6488603988604,5.29895000142166,0.000169027033173099,0.00282275145399076,0.00170806265101237,"1026/2065/2335/3688/4602/5934/5970",7
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/30","167/5665",0.0359281437125748,6.78443113772455,5.5359455847483,0.000197816512884279,0.00300321433197041,0.00181726174515701,"4318/2353/3383/5906/7124/5970",6
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","7/30","252/5665",0.0277777777777778,5.24537037037037,5.03004801710611,0.000267670408859094,0.00347478036727042,0.0021026089836619,"1026/472/2335/3688/5934/7124/5970",7
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","4/30","61/5665",0.0655737704918033,12.3825136612022,6.52122708896007,0.000270491884877338,0.00347478036727042,0.0021026089836619,"4318/2353/7124/5970",4
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","4/30","64/5665",0.0625,11.8020833333333,6.34074099382644,0.000325718670006776,0.00362633452607544,0.00219431525057197,"924/100133941/960/7124",4
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/30","64/5665",0.0625,11.8020833333333,6.34074099382644,0.000325718670006776,0.00362633452607544,0.00219431525057197,"3586/2335/7124/5970",4
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/30","28/5665",0.107142857142857,20.2321428571429,7.44317044197132,0.000401603798751888,0.00419173964947283,0.00253644504474876,"3586/3383/7124",3
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","6/30","198/5665",0.0303030303030303,5.72222222222222,4.93491604101335,0.000497205617712391,0.00488431400929231,0.0029555256532749,"1026/472/2353/3383/7124/5970",6
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","4/30","76/5665",0.0526315789473684,9.93859649122807,5.72379885601096,0.000629307073844468,0.00582932880366413,0.00352735937694142,"3586/2353/7124/5970",4
