"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","30/247","198/5665",0.151515151515152,3.47503373819163,7.5688479385865,1.23370263259306e-09,3.30632305534941e-07,2.15573302116261e-07,"3845/2353/1019/3683/7094/1387/8850/3725/920/958/1386/896/3133/1030/6908/1031/6688/890/598/5566/5970/5728/7124/3689/4085/4790/5293/1869/4772/3559",30
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","15/247","64/5665",0.234375,5.37544281376518,7.51570649063285,6.02097440094598e-08,8.06810569726762e-06,5.26043026608965e-06,"1378/920/925/3674/960/3815/947/2057/1435/7037/7124/2811/2322/3559/914",15
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","18/247","115/5665",0.156521739130435,3.58986093997536,5.9905882858398,1.86272264841965e-06,0.000149923523403584,9.77506083464057e-05,"2353/3725/54/1513/3727/8600/2274/7189/6688/5970/9021/1435/7124/4790/5293/4772/126014/3937",18
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","13/247","63/5665",0.206349206349206,4.73266499582289,6.36075012509892,2.2376645284117e-06,0.000149923523403584,9.77506083464057e-05,"2353/3683/3725/6348/6347/54/1513/8600/7422/1435/7124/3689/1493",13
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","37/247","386/5665",0.0958549222797927,2.19845398670051,5.20750606462891,3.30791945888462e-06,0.000177304482996216,0.00011560308003681,"3845/2353/2247/596/861/1019/1387/3725/5579/896/5371/3674/6500/5915/1030/1021/2260/7189/6688/25/613/890/3815/7422/2057/598/5566/5970/5728/3688/5154/4790/5293/4193/1869/2322/3559",37
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","26/247","234/5665",0.111111111111111,2.54835807467386,5.16452078034962,8.20396936553137e-06,0.000366443964993734,0.000238922616610212,"3845/2247/596/1019/1386/6696/896/3674/1021/2260/3815/7422/5294/2057/598/5970/5728/1435/672/3688/5154/4790/5293/4193/2322/3559",26
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","14/247","82/5665",0.170731707317073,3.91576972449886,5.67828168678662,9.58458412791419e-06,0.000366952649468715,0.000239254280486279,"596/1019/3674/5915/1030/1021/7189/598/5970/5728/3688/4790/5293/1869",14
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","18/247","130/5665",0.138461538461538,3.17564621613205,5.35786464517853,1.11281428786323e-05,0.000372792786434182,0.000243062068138548,"2120/861/958/5371/1991/1031/6688/890/598/5970/4005/2313/5154/4353/4790/3087/4193/2322",18
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","17/247","122/5665",0.139344262295082,3.1958916838123,5.23490721637293,1.80391717594795e-05,0.000537166447948944,0.000350234211938432,"2353/3725/60/920/6347/925/6714/7189/3586/5970/7124/3688/10163/4790/5293/4772/3937",17
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","18/247","139/5665",0.129496402877698,2.97002883523141,5.02071005197583,2.83424445243366e-05,0.000759577513252221,0.000495246925372619,"3845/596/1387/5579/5243/1021/960/25/7431/7422/23411/5728/672/5154/4790/5293/4193/1869",18
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","10/247","50/5665",0.2,4.58704453441296,5.43923082160261,4.54744829965616e-05,0.00110792376755259,0.000722369777744424,"3845/2247/1019/1021/2260/5728/5154/5293/4193/1869",10
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","11/247","62/5665",0.17741935483871,4.06915240955988,5.18793573328272,6.10604567422735e-05,0.00127156919787416,0.000829067112518112,"3845/2247/596/5579/6714/4763/7422/598/5728/5154/5293",11
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","12/247","73/5665",0.164383561643836,3.77017358992846,5.08598917891381,6.19831432474499e-05,0.00127156919787416,0.000829067112518112,"3845/861/1019/1021/25/613/598/5970/4790/5293/4193/1869",12
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","17/247","135/5665",0.125925925925926,2.88813915129705,4.74055200019626,6.8114556265668e-05,0.00127156919787416,0.000829067112518112,"3845/2353/2247/596/3725/1386/5579/896/6714/8600/9314/7422/5566/5970/4790/5293/1869",17
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","11/247","63/5665",0.174603174603175,4.00456268877322,5.12000742629424,7.11699177914644e-05,0.00127156919787416,0.000829067112518112,"3845/861/5371/6688/890/3815/5970/4353/4790/5293/2322",11
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","11/247","64/5665",0.171875,3.94199139676113,5.05346424971246,8.26805783485686e-05,0.00138489968733852,0.000902958947754105,"2353/1378/3725/5579/7189/3586/5970/7124/3688/3689/4790",11
"hsa04660","Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","14/247","102/5665",0.137254901960784,3.14797173930301,4.67374181526396,0.000118639611352737,0.00187031857897256,0.00121945359037488,"3845/2353/1019/3725/920/925/3586/5970/7124/4790/5293/4772/1493/3937",14
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","17/247","143/5665",0.118881118881119,2.72656493304267,4.46471079352322,0.000140796026629301,0.00198642053282042,0.00129515242909737,"3845/2247/3683/7094/60/5579/3674/6714/2260/3815/7422/1435/3688/5154/3689/5293/3937",17
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","10/247","57/5665",0.175438596491228,4.02372327580084,4.89853332578784,0.000146030857429088,0.00198642053282042,0.00129515242909737,"2353/3725/7189/3394/3586/5970/7124/3688/3689/4790",10
