"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","25/136","157/5665",0.159235668789809,6.63286811539903,11.2251001644096,1.71698216606226e-14,4.22377612851316e-12,3.27130286376073e-12,"891/595/1026/1029/4609/1027/5347/1111/9212/701/993/990/1874/994/1869/7157/890/898/983/995/9134/7042/1871/9133/9232",25
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","22/136","139/5665",0.158273381294964,6.59278459585273,10.4697867100244,8.70167412087216e-13,1.07030591686728e-10,8.2894895572519e-11,"595/1026/1029/4609/1027/2064/648/7422/6093/993/3551/672/994/1869/7157/898/995/4318/9134/5328/7042/1871",22
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","22/136","142/5665",0.154929577464789,6.45350041425021,10.3214278865578,1.36399284579412e-12,1.11847413355118e-10,8.66255105574509e-11,"891/595/1026/1029/4609/4775/1432/1111/993/4683/1874/1869/7157/890/898/983/9134/3105/7042/2305/1871/9133",22
"hsa05219","Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","11/136","35/5665",0.314285714285714,13.0913865546218,11.2528806279034,2.59742881540323e-10,1.59741872147299e-08,1.23719635681049e-08,"595/1026/1029/4609/4313/2064/7422/1869/7157/4318/1871",11
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","15/136","84/5665",0.178571428571429,7.43828781512605,9.32313130278962,8.44024143435988e-10,4.15259878570506e-08,3.2161762097245e-08,"595/6667/1026/1029/2099/4313/1027/2064/5599/1432/3479/1869/7157/4318/1871",15
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","13/136","77/5665",0.168831168831169,7.03256302521008,8.35847048649483,2.44992777589024e-08,1.004470388115e-06,7.77959521817779e-07,"595/1026/1027/2064/3551/3479/1869/7157/898/4318/9134/5328/1871",13
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","20/136","198/5665",0.101010101010101,4.20751633986928,7.20501214474566,3.59120325854283e-08,1.26205143085934e-06,9.77455323001884e-07,"7124/595/1026/1029/4609/4775/5599/1111/701/3551/1869/7157/890/898/9134/3105/7042/1871/9133/9232",20
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","28/136","386/5665",0.0725388601036269,3.02156354769887,6.45227695779537,8.02187648718718e-08,2.46672701981006e-06,1.91047321602747e-06,"595/6667/1026/1029/2099/332/675/4609/4313/1027/2064/5599/7422/6093/3551/3479/7423/1869/7157/7849/890/898/4318/9134/1050/7042/7477/1871",28
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","12/136","73/5665",0.164383561643836,6.84730056406124,7.8857144787667,1.18627360898484e-07,3.09881277506327e-06,2.40002187542342e-06,"595/1026/1029/675/2064/5599/7422/3551/1869/7157/7042/1871",12
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","16/136","137/5665",0.116788321167883,4.86474881923572,7.18133722639051,1.25967998986312e-07,3.09881277506327e-06,2.40002187542342e-06,"7124/1026/332/4609/4775/5599/1432/3551/1869/7157/890/898/4318/9134/7042/1871",16
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","17/136","157/5665",0.10828025477707,4.51035031847134,6.99537662337341,1.51988740734179e-07,3.39902092914618e-06,2.6325322557786e-06,"7124/595/7448/1026/2099/4609/4313/2064/7422/1432/6093/3479/7157/4318/5328/7042/7477",17
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","14/136","115/5665",0.121739130434783,5.07097186700767,6.91684926285457,4.85967520351738e-07,9.96233416721062e-06,7.71580010383022e-06,"891/595/1026/1027/5599/5347/1432/6648/3551/6794/3479/847/7042/9133",14
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","11/136","70/5665",0.157142857142857,6.54569327731092,7.3217113270152,6.57788725096125e-07,1.24473866441267e-05,9.6404663354169e-06,"891/595/1026/1029/1111/3479/7157/898/983/9134/9133",11
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","17/136","176/5665",0.0965909090909091,4.0234375,6.39025951180044,7.95385138142172e-07,1.3976053141641e-05,1.0824414285995e-05,"7124/595/695/1026/4609/1027/5599/1432/3551/1869/7157/890/898/4734/9134/3105/1871",17
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","14/136","130/5665",0.107692307692308,4.48585972850679,6.30566003179408,2.19497613534907e-06,3.39982681368557e-05,2.63315641111291e-05,"6667/1026/4609/1027/648/3479/7157/7849/890/4318/5328/1050/3087/2321",14
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","13/136","112/5665",0.116071428571429,4.83488707983193,6.42843913925504,2.21126947231582e-06,3.39982681368557e-05,2.63315641111291e-05,"595/6667/1026/2099/675/4609/2064/3479/672/1869/7157/7477/1871",13
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","10/136","73/5665",0.136986301369863,5.70608380338437,6.34666078476086,7.82545122454611e-06,0.000113238882425785,8.77031994825292e-05,"595/1026/1029/4609/1027/3551/1869/7157/7042/1871",10
"hsa04914","Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","11/136","91/5665",0.120879120879121,5.03514867485456,6.08561587901799,9.35878330072301e-06,0.000125168429600833,9.69426005894345e-05,"891/5599/5347/1432/993/3479/994/890/983/995/9133",11
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","12/136","109/5665",0.110091743119266,4.58580679978413,5.92825393757705,9.66748033502371e-06,0.000125168429600833,9.69426005894345e-05,"595/1026/4609/1027/2064/1869/7157/898/9134/7042/7477/1871",12
