L	R	pw.id	pw.name	pval	qval	LR.corr	rank	len	rank.corr
ADAM15	ITGB1	R-HSA-1500931	Cell-Cell communication	0.114614825923543	0.127904794065651	0.350597388163379	6	12	-0.144763961347661
ADAM15	ITGB1	R-HSA-1566948	Elastic fibre formation	0.0503569167267422	0.0673617710691683	0.350597388163379	2	4	-0.0242848608645396
ADAM15	ITGB1	R-HSA-216083	Integrin cell surface interactions	0.0329143488859686	0.0510261365432204	0.350597388163379	10	19	0.0734092803556544
ADAM15	ITGB1	R-HSA-3000157	Laminin interactions	0.0464746056030278	0.0638358088455382	0.350597388163379	4	9	-0.0320088913587108
ADAM15	ITGB1	R-HSA-3000170	Syndecan interactions	0.0562000330609627	0.0735317950815881	0.350597388163379	3	6	-0.0242848608645396
ADAM15	ITGB1	R-HSA-3000171	Non-integrin membrane-ECM interactions	0.0846949866424052	0.0989169158574072	0.350597388163379	6	11	-0.0320088913587108
ADAM15	ITGB1	R-HSA-3000178	ECM proteoglycans	0.0654290718507703	0.0819434838724931	0.350597388163379	6	12	-0.0242848608645396
ADAM15	ITGB1	R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	0.120144016101701	0.132899944745234	0.350597388163379	36	66	-0.0221172547929981
ADAM15	ITGB1	R-HSA-6806834	Signaling by MET	0.121340690699924	0.133642511876875	0.350597388163379	17	32	-0.0679633231453182
ADAM15	ITGB1	R-HSA-8874081	MET activates PTK2 signaling	0.0612720426727818	0.0781014303935725	0.350597388163379	3	6	-0.0403445401500417
ADAM15	ITGB1	R-HSA-8875878	MET promotes cell motility	0.0857411055961189	0.0999615816462069	0.350597388163379	7	13	-0.0320088913587108
ADAM9	ITGAV	R-HSA-3000157	Laminin interactions	0.0380877512314935	0.0556756730539874	0.57882745207002	3	6	-0.40577938316199
ADAM9	ITGB5	R-HSA-3000171	Non-integrin membrane-ECM interactions	0.0354744705399764	0.0533792138030705	0.457038123071486	2	4	-0.067569287884304
APOC1	VLDLR	R-HSA-174824	Plasma lipoprotein assembly, remodeling, and clearance	0.162525848524009	0.166949904572657	0.284735381513006	6	12	-0.165320750676901
APOC1	VLDLR	R-HSA-8964043	Plasma lipoprotein clearance	0.0874789249033601	0.10182206031771	0.284735381513006	5	10	-0.0288974790415201
APP	GPC1	R-HSA-1630316	Glycosaminoglycan metabolism	0.114127830853954	0.127559867065136	0.287079744373437	28	52	0.00861350375104196
APP	GPC1	R-HSA-1638091	Heparan sulfate/heparin (HS-GAG) metabolism	0.131085513918629	0.141976304349935	0.287079744373437	9	18	-0.0767991108641289
APP	GPC1	R-HSA-1793185	Chondroitin sulfate/dermatan sulfate metabolism	0.143368756467392	0.153197315032966	0.287079744373437	6	12	-0.123867741039178
APP	GPC1	R-HSA-196854	Metabolism of vitamins and cofactors	0.120345948438838	0.132899944745234	0.287079744373437	3	7	-0.181545309957933
APP	GPC1	R-HSA-1971475	A tetrasaccharide linker sequence is required for GAG synthesis	0.169802812744997	0.173554692427887	0.287079744373437	4	9	-0.278949565010362
APP	GPC1	R-HSA-2022928	HS-GAG biosynthesis	0.139649001711862	0.149445274966276	0.287079744373437	3	6	-0.181545309957933
APP	GPC1	R-HSA-2187338	Visual phototransduction	0.160038491878321	0.164867239478098	0.287079744373437	5	10	-0.181545309957933
APP	GPC1	R-HSA-3560782	Diseases associated with glycosaminoglycan metabolism	0.13672734486444	0.147197456858563	0.287079744373437	6	11	-0.0767991108641289
APP	GPC1	R-HSA-3560783	Defective B4GALT7 causes EDS, progeroid type	0.139649001711862	0.149445274966276	0.287079744373437	3	6	-0.181545309957933
APP	GPC1	R-HSA-3560801	Defective B3GAT3 causes JDSSDHD	0.139649001711862	0.149445274966276	0.287079744373437	3	6	-0.181545309957933
APP	GPC1	R-HSA-3656237	Defective EXT2 causes exostoses 2	0.139649001711862	0.149445274966276	0.287079744373437	3	6	-0.181545309957933
APP	GPC1	R-HSA-3656253	Defective EXT1 causes exostoses 1, TRPS2 and CHDS	0.139649001711862	0.149445274966276	0.287079744373437	3	6	-0.181545309957933
APP	GPC1	R-HSA-3781865	Diseases of glycosylation	0.154850194469846	0.160762315792561	0.287079744373437	33	61	-0.0227285357043623
APP	GPC1	R-HSA-4420332	Defective B3GALT6 causes EDSP2 and SEMDJL1	0.139649001711862	0.149445274966276	0.287079744373437	3	6	-0.181545309957933
APP	GPC1	R-HSA-5668914	Diseases of metabolism	0.148929120956583	0.157728478177061	0.287079744373437	46	84	-0.00211169769380383
APP	GPC1	R-HSA-6806667	Metabolism of fat-soluble vitamins	0.120345948438838	0.132899944745234	0.287079744373437	3	7	-0.181545309957933
APP	GPC1	R-HSA-71387	Metabolism of carbohydrates	0.147883415021265	0.156852675399774	0.287079744373437	75	137	0.00861350375104196
APP	GPC1	R-HSA-975634	Retinoid metabolism and transport	0.120345948438838	0.132899944745234	0.287079744373437	3	7	-0.181545309957933
ARPC5	ADRB2	R-HSA-5688426	Deubiquitination	0.125750028178312	0.137129688522966	0.377493748263407	40	73	-0.108030008335649
